lon,lat,depth,b1,b2,b3,b4,b5,b6,b8,b10
83.38731384,17.78251457,2.357,-5.446336004,-4.951706273,-4.28952901,-5.081730975,-5.366757495,-5.157720435,-5.194145038,-5.919660934
83.38731384,17.78260422,2.403,-5.446136026,-4.951400371,-4.296788587,-5.081730975,-5.366757495,-5.157720435,-5.18630695,-5.919617335
83.38629913,17.78433228,0.669,-4.878767155,-4.555931593,-3.941490769,-4.31685399,-4.673614616,-4.86485619,-4.816389947,-5.527768663
83.3868866,17.78586197,1.791,-4.841001326,-4.622768762,-4.052578292,-4.560517446,-4.887359104,-4.847986364,-4.8753362,-5.574972958
83.38755035,17.78648567,2.207,-5.337822844,-4.890852373,-4.174787795,-4.816284724,-5.100995962,-4.952634509,-4.909221114,-5.666288658
83.3871994,17.78097916,1.019,-5.006713882,-4.801510042,-4.101040662,-4.734554465,-5.07601553,-5.213225219,-5.25003181,-5.962175032
83.38687134,17.78504753,2.218,-5.120438518,-4.810399766,-4.221399064,-4.926918408,-5.16069057,-4.965011898,-4.962258126,-5.709704232
83.39134979,17.78111076,9.647,-5.881527833,-5.785694159,-5.355788129,-5.985912471,-6.016222504,-5.837887709,-5.871331425,-6.956766359
83.38994598,17.78239059,7.584,-6.216052294,-5.536523213,-5.004556785,-5.716918273,-5.80041076,-5.585650804,-5.640993492,-6.522252145
83.38685608,17.78351402,1.781,-5.377599022,-4.892213535,-4.253023122,-4.984820518,-5.154145891,-5.036329496,-5.044772619,-5.767161598
83.39042664,17.78292847,8.258,-6.245820635,-5.510150483,-5.11568727,-5.801792282,-5.815141697,-5.597101473,-5.640747266,-6.7147879
83.38634491,17.7806282,0.608,-4.740230804,-4.529056291,-3.939834303,-4.116881651,-4.336046966,-4.637415798,-4.737851053,-5.099433015
83.39167023,17.78417778,9.632,-5.735957477,-5.619831141,-5.185286452,-5.786414931,-5.875372237,-5.608701802,-5.64061952,-6.714599883
83.38887787,17.78710175,4.455,-5.85546452,-5.10176832,-4.550437529,-5.286496774,-5.393323131,-5.141113649,-5.148015265,-5.918851676
83.38694,17.78315163,1.888,-5.378559055,-4.792899313,-4.208563911,-4.953223863,-5.185407713,-5.023550819,-5.105995487,-5.827831533
83.38597107,17.78090477,0.169,-4.739635408,-4.50466456,-3.887358623,-3.991882053,-4.249474509,-4.619443868,-4.602552871,-5.187297818
83.38582611,17.78406715,0.28,-4.291039168,-4.235352517,-3.681767653,-3.690594431,-3.554884901,-3.902663015,-4.168720045,-5.167194162
83.38700867,17.78116226,1.242,-5.382674889,-4.757173377,-4.031061261,-4.68000565,-5.082863286,-5.212921871,-5.217963381,-5.879905645
83.38734436,17.78486252,3.421,-5.497089772,-4.927202002,-4.417092262,-5.20987271,-5.336842436,-5.035823869,-5.044308,-5.790645441
83.3902359,17.78293037,8.354,-6.130529222,-5.483802506,-5.09056768,-5.816376899,-5.771338581,-5.608399522,-5.640555653,-6.627423591
83.3866806,17.78487015,1.807,-5.222912042,-4.644580624,-4.067150676,-4.737116071,-5.051867817,-4.946556448,-4.920794691,-5.655723635
83.38643646,17.7808075,0.99,-5.395088288,-4.66374269,-4.062407261,-4.408703395,-4.59851555,-4.91295348,-4.98871002,-5.547551213
83.38645935,17.78252411,1.668,-5.3787607,-4.805859706,-4.159305173,-4.874419425,-5.11012214,-4.985029869,-5.065056047,-5.744176323
83.38651276,17.78631783,0.242,-4.480537422,-3.601044479,-3.328047469,-3.090111361,-3.117297089,-3.015310904,-3.325340241,-4.18661811
83.38922882,17.78465843,7.278,-5.924554328,-5.348323062,-4.817382764,-5.538368555,-5.622960658,-5.294106746,-5.395895474,-6.277492554
83.38648987,17.78460121,1.545,-5.222894595,-4.596627643,-3.956992397,-4.429392737,-4.82004556,-4.864820087,-4.837439293,-5.604587183
